EmployeeID,FirstName,LastName,Gender,DateOfBirth,Nationality,MaritalStatus,EducationLevel,Email,DateOfJoining,DateOfLeaving,ReasonForLeaving,VoluntaryExit,RecruitmentSource,TimeToHire,CostPerHire
110017,Eleonora,Pollard,F,1993-12-26,USA,Married,Bachelor's Degree,eleonora.pollard@lumen.com,2024-06-26,,,,3,39,3500
110018,Rosina,Gonsalves,F,1997-10-02,Australia,Married,High School Diploma,rosina.gonsalves@lumen.com,2024-01-24,,,,2,53,3000
110019,Douglas,Cull,M,1997-11-24,Malaysian,Married,Technical Certificate,douglas.cull@lumen.com,2024-04-27,,,,2,44,4500
110020,Suellen,Eoff,F,1997-05-14,Canada,Married,Bachelor's Degree,suellen.eoff@lumen.com,2024-05-03,,,,1,31,2800
110021,Sherise,Bledsoe,F,1979-11-28,Australia,Married,Bachelor's Degree,sherise.bledsoe@lumen.com,2024-04-15,,,,3,34,3000
110022,Chase,Paradise,M,1991-10-15,UK,Married,Bachelor's Degree,chase.paradise@lumen.com,2024-06-25,,,,4,40,2000
110023,Ernestine,Fludd,F,1972-04-26,Canada,Married,Associate’s Degree,ernestine.fludd@lumen.com,2024-03-21,,,,2,40,4000
110024,Fernando,Korhonen,M,1998-09-19,Australia,Married,Bachelor's Degree,fernando.korhonen@lumen.com,2024-02-26,,,,4,33,2500
110025,Shanti,Quirion,F,1991-11-12,USA,Married,Associate’s Degree,shanti.quirion@lumen.com,2024-06-06,,,,3,40,3200
110026,Dovie,Nickerson,F,1974-11-20,Germany,Married,Master’s Degree,dovie.nickerson@lumen.com,2024-01-21,,,,4,48,2800
110027,Lacy,Deshotel,M,1995-11-21,Malaysian,Married,Technical Certificate,lacy.deshotel@lumen.com,2024-04-29,,,,2,30,3500
110028,Leslie,Stolte,M,1980-07-31,USA,Married,Technical Certificate,leslie.stolte@lumen.com,2024-01-20,,,,2,32,3000
110029,Valene,Yost,F,1997-01-22,USA,Married,Master’s Degree,valene.yost@lumen.com,2023-06-10,,,,3,52,4500
110030,Earlean,Funke,F,1969-03-20,Canada,Married,Master’s Degree,earlean.funke@lumen.com,2023-08-27,,,,4,54,2800
110031,Eloise,Demoss,F,1999-06-11,Egypt,Married,Bachelor's Degree,eloise.demoss@lumen.com,2023-12-24,,,,3,47,3000
110032,Oliver,Mouzon,M,1992-03-31,Canada,Married,High School Diploma,oliver.mouzon@lumen.com,2023-11-12,,,,1,45,2000
110033,Caleb,Luther,M,1972-04-24,Australia,Married,Associate’s Degree,caleb.luther@lumen.com,2023-09-29,,,,3,46,4000
110034,Rebeca,Kromer,F,1996-12-11,USA,Married,Bachelor's Degree,rebeca.kromer@lumen.com,2023-07-18,,,,4,51,2500
110035,Keven,Bingham,M,1978-08-23,USA,Married,Bachelor's Degree,keven.bingham@lumen.com,2023-04-21,,,,1,56,3200
110036,Magaly,Mcneel,F,1973-03-22,USA,Married,Bachelor's Degree,magaly.mcneel@lumen.com,2023-03-20,,,,4,30,2800
110037,Mika,Rodriquez,F,1974-06-30,Australia,Married,Technical Certificate,mika.rodriquez@lumen.com,2023-09-03,,,,4,38,3500
110038,Freddy,Rolling,M,1978-04-17,Germany,Married,Bachelor's Degree,freddy.rolling@lumen.com,2023-08-06,,,,3,33,3000
110039,Morgan,Carriere,F,1996-12-22,Canada,Married,Bachelor's Degree,morgan.carriere@lumen.com,2023-03-28,,,,2,48,4500
110040,Austin,Janney,M,1991-03-09,France,Married,Bachelor's Degree,austin.janney@lumen.com,2023-11-05,,,,1,51,2800
110041,Kaye,Tubbs,F,1992-02-16,Australia,Married,Bachelor's Degree,kaye.tubbs@lumen.com,2023-03-25,2024-08-01,Career Stagnation,Yes,2,32,3000
110042,Inger,Gillan,F,1995-11-11,Australia,Married,High School Diploma,inger.gillan@lumen.com,2023-02-03,,,,1,58,2000
110043,Junita,Huhn,F,1992-05-13,Australia,Married,Technical Certificate,junita.huhn@lumen.com,2023-10-28,,,,4,34,4000
110044,Keira,Till,F,1972-02-22,USA,Married,Bachelor's Degree,keira.till@lumen.com,2023-10-11,,,,3,60,2500
110045,Mickey,Hentges,M,1998-05-17,Canada,Single,Bachelor's Degree,mickey.hentges@lumen.com,2023-08-31,,,,1,32,3200
110046,Phil,Czarnecki,M,1980-05-02,Italy,Single,Bachelor's Degree,phil.czarnecki@lumen.com,2023-02-15,,,,3,42,2800
110047,Glenn,Vinyard,M,1970-07-20,USA,Single,Associate’s Degree,glenn.vinyard@lumen.com,2023-05-12,,,,3,40,3500
110048,Federico,Edmond,M,1998-04-05,France,Married,Bachelor's Degree,federico.edmond@lumen.com,2023-12-06,,,,4,51,3000
110049,Lucas,Funes,M,1970-12-04,UK,Married,Doctorate (PhD),lucas.funes@lumen.com,2023-10-10,,,,1,42,4500
110050,Alden,Cauley,M,1995-10-17,Egypt,Married,Bachelor's Degree,alden.cauley@lumen.com,2023-05-16,,,,1,47,2800
110051,Efrain,Moats,M,1968-08-11,Canada,Married,Technical Certificate,efrain.moats@lumen.com,2023-09-15,,,,4,46,3000
110052,Vincenzo,Rentschler,M,1993-12-11,UK,Married,Bachelor's Degree,vincenzo.rentschler@lumen.com,2023-01-23,,,,3,34,2000
110053,Yvone,Seay,F,1980-08-22,USA,Single,Technical Certificate,yvone.seay@lumen.com,2023-10-03,,,,3,31,4000
110054,Giuseppina,Dagostino,F,1997-11-22,Canada,Married,High School Diploma,giuseppina.dagostino@lumen.com,2023-07-02,,,,4,41,2500
110055,Danilo,Hammes,M,1974-07-09,USA,Single,Bachelor's Degree,danilo.hammes@lumen.com,2023-01-23,,,,1,52,3200
110056,Clotilde,Mason,F,1996-12-01,Malaysian,Single,Technical Certificate,clotilde.mason@lumen.com,2023-09-01,,,,2,60,2800
110057,Petrina,Dampier,F,1975-12-28,Egypt,Single,Bachelor's Degree,petrina.dampier@lumen.com,2023-12-03,2024-07-01,Restructuring,No,3,34,3500
110058,Philip,Trinidad,M,1980-08-31,USA,Married,Associate’s Degree,philip.trinidad@lumen.com,2022-09-10,,,,3,49,3000
110059,Sixta,Jo,F,1996-08-04,Turkish,Single,Bachelor's Degree,sixta.jo@lumen.com,2022-07-28,,,,3,32,4500
110060,Mose,Brucker,M,1997-01-01,USA,Single,Bachelor's Degree,mose.brucker@lumen.com,2022-11-29,,,,4,31,2800
110061,Andrew,Detweiler,M,1977-01-08,Malaysian,Single,Bachelor's Degree,andrew.detweiler@lumen.com,2022-04-16,,,,4,39,3000
110062,Cecil,Teixeira,M,1969-03-26,UK,Single,Bachelor's Degree,cecil.teixeira@lumen.com,2022-11-19,,,,2,39,2000
110063,Alysia,Basil,F,1995-01-12,Canada,Married,Bachelor's Degree,alysia.basil@lumen.com,2022-10-20,,,,2,34,4000
110064,Chauncey,Southerland,M,1979-05-26,UK,Married,Bachelor's Degree,chauncey.southerland@lumen.com,2022-02-27,2023-12-31,Workload Burnout,Yes,1,33,2500
110065,Judith,Gourdine,F,2000-11-15,China,Single,Associate’s Degree,judith.gourdine@lumen.com,2022-05-24,,,,4,59,3200
110066,Beatrice,Coen,F,2000-08-03,Canada,Married,Bachelor's Degree,beatrice.coen@lumen.com,2022-12-21,,,,2,49,2800
110067,Terra,Routh,F,1979-05-17,Italy,Married,Doctorate (PhD),terra.routh@lumen.com,2022-08-13,2024-02-01,Restructuring,No,3,48,3500
110068,Suzette,Lovejoy,F,1997-06-01,UK,Single,Bachelor's Degree,suzette.lovejoy@lumen.com,2022-08-28,,,,2,39,3000
110069,Jolanda,Dewees,F,1975-12-14,Egypt,Single,Technical Certificate,jolanda.dewees@lumen.com,2022-03-30,,,,1,33,4500
110070,Dwain,Upham,M,1994-05-27,China,Married,Bachelor's Degree,dwain.upham@lumen.com,2022-11-27,,,,4,57,2800
110071,Alise,Baltzell,F,1979-01-02,Egypt,Single,Technical Certificate,alise.baltzell@lumen.com,2022-02-23,2023-12-31,Limited Training,Yes,3,45,3000
110072,Hal,Kells,M,1975-09-15,USA,Single,High School Diploma,hal.kells@lumen.com,2022-03-29,,,,3,30,2000
110073,Teddy,Kleinschmidt,M,1999-01-04,Malaysian,Single,Bachelor's Degree,teddy.kleinschmidt@lumen.com,2022-10-16,,,,4,50,4000
110074,Phyllis,Figueredo,F,1994-08-07,USA,Single,Technical Certificate,phyllis.figueredo@lumen.com,2022-02-14,2023-12-31,Career Stagnation,Yes,2,59,2500
110075,Stanley,Caudill,M,1995-09-03,UK,Single,Bachelor's Degree,stanley.caudill@lumen.com,2022-11-06,,,,3,52,3200
110076,Jordan,Phu,M,1996-07-24,Australia,Married,Associate’s Degree,jordan.phu@lumen.com,2022-09-15,,,,1,53,2800
110077,Mac,Lineberry,M,1971-02-19,France,Single,Bachelor's Degree,mac.lineberry@lumen.com,2022-06-17,,,,4,52,3500
110078,Mina,Shotwell,F,1971-03-27,Italy,Married,Bachelor's Degree,mina.shotwell@lumen.com,2022-08-06,,,,4,47,3000
110079,Doyle,Utter,M,1995-07-20,UK,Married,Bachelor's Degree,doyle.utter@lumen.com,2022-01-09,2024-01-01,Restructuring,No,1,30,4500
110080,Tyler,Galindo,M,1997-07-22,Egypt,Single,Bachelor's Degree,tyler.galindo@lumen.com,2022-01-23,,,,4,44,2800
110081,Lizzette,Moyle,F,1994-05-18,Australia,Single,Bachelor's Degree,lizzette.moyle@lumen.com,2022-06-11,,,,3,59,3000
110082,Heath,Fell,M,1973-04-12,Egypt,Married,Bachelor's Degree,heath.fell@lumen.com,2022-05-06,,,,1,30,2000
110083,Meryl,Nau,F,1978-01-15,Canada,Single,Associate’s Degree,meryl.nau@lumen.com,2022-05-05,,,,2,52,4000
110084,Terrell,Leader,M,1969-06-30,Australia,Single,Bachelor's Degree,terrell.leader@lumen.com,2022-06-21,,,,3,50,2500
110085,Cameron,Chamberland,M,1995-01-02,Canada,Married,Doctorate (PhD),cameron.chamberland@lumen.com,2022-08-10,,,,2,30,3200
110086,Jarred,Class,M,1996-09-18,UK,Single,Bachelor's Degree,jarred.class@lumen.com,2022-08-17,,,,4,40,2800
110087,Maxwell,Azevedo,M,1968-07-16,Germany,Single,Technical Certificate,maxwell.azevedo@lumen.com,2022-05-04,2024-06-01,Restructuring,No,3,39,3500
110088,Jerri,Dunkle,F,2000-05-17,Malaysian,Single,Bachelor's Degree,jerri.dunkle@lumen.com,2022-12-21,,,,1,38,3000
110089,Chere,Patchett,F,1998-10-28,Egypt,Single,Technical Certificate,chere.patchett@lumen.com,2022-08-31,,,,2,42,4500
110090,Leonore,Reason,F,1998-07-22,China,Single,High School Diploma,leonore.reason@lumen.com,2022-08-26,,,,2,46,2800
110091,Millicent,Mangan,F,1995-09-13,Italy,Single,Master’s Degree,millicent.mangan@lumen.com,2022-10-18,,,,3,57,3000
110092,Bernard,Harbert,M,1994-01-31,Canada,Married,Technical Certificate,bernard.harbert@lumen.com,2022-07-11,,,,1,43,2000
110093,Steven,Daigneault,M,1972-10-18,Canada,Single,Master’s Degree,steven.daigneault@lumen.com,2022-11-12,,,,3,51,4000
110094,Oren,Mcnabb,M,1992-09-05,Canada,Married,Associate’s Degree,oren.mcnabb@lumen.com,2022-10-06,,,,1,39,2500
110095,Susana,Hooks,F,1994-08-14,UK,Single,Bachelor's Degree,susana.hooks@lumen.com,2022-09-09,,,,2,40,3200
110096,Cedrick,Engelhardt,M,1973-07-16,USA,Married,Master’s Degree,cedrick.engelhardt@lumen.com,2022-04-20,,,,3,32,2800
110097,Rich,Rehberg,M,1972-06-10,USA,Married,Bachelor's Degree,rich.rehberg@lumen.com,2022-04-08,,,,4,35,3500
110098,Zachary,Velasquez,M,1998-02-05,USA,Married,Technical Certificate,zachary.velasquez@lumen.com,2022-01-04,2024-09-01,Resigned,Yes,1,60,3000
110099,Garrett,Nolette,M,1970-09-15,USA,Married,Bachelor's Degree,garrett.nolette@lumen.com,2022-07-26,,,,1,38,4500
110100,Antone,Polston,M,1994-12-19,USA,Married,Technical Certificate,antone.polston@lumen.com,2022-04-23,,,,4,45,2800
110101,Heidi,Reiter,F,1997-10-29,UK,Single,Master’s Degree,heidi.reiter@lumen.com,2009-05-11,2022-01-01,Restructuring,No,3,45,3000
110102,Barış,Demir,M,1974-06-17,Turkish,Married,Associate’s Degree,barış.demir@lumen.com,1995-09-13,,,,2,48,2000
110103,Anhua,Liu,M,1999-05-03,China,Married,High School Diploma,anhua.liu@lumen.com,2017-03-19,,,,2,57,4000
110104,Thérèse,Lefevre,F,1993-07-11,France,Married,Technical Certificate,thérèse.lefevre@lumen.com,2010-05-10,,,,4,50,2500
110105,Tonda,Proctor,F,1978-01-02,USA,Single,Master’s Degree,tonda.proctor@lumen.com,1994-05-20,,,,4,34,3200
110106,Lanora,Phifer,F,1976-09-03,USA,Divorced,Master’s Degree,lanora.phifer@lumen.com,2013-12-06,,,,3,38,2800
110107,Claudio,Heck,M,1977-09-25,USA,Divorced,Master’s Degree,claudio.heck@lumen.com,2005-05-14,2022-03-18,Limited Training,Yes,4,55,3500
110108,Yasmin,Rahman,F,1995-08-03,Malaysian,Married,Master’s Degree,yasmin.rahman@lumen.com,2017-01-25,,,,4,36,3000
110109,Wenona,Carmichael,F,1974-08-29,Australia,Divorced,Associate’s Degree,wenona.carmichael@lumen.com,2005-08-31,,,,2,46,4500
110110,Cathie,Dietz,F,1971-10-02,Canada,Single,High School Diploma,cathie.dietz@lumen.com,1992-02-26,,,,3,59,2800
110111,Alberto,Riley,M,1994-01-08,USA,Single,Bachelor's Degree,alberto.riley@lumen.com,2004-12-17,,,,4,57,3000
110112,Nagy,Khaled,M,1972-02-12,Egypt,Married,Master’s Degree,nagy.khaled@lumen.com,2017-04-16,,,,2,59,2000
110113,Marcel,Trotter,M,1995-01-30,UK,Divorced,Bachelor's Degree,marcel.trotter@lumen.com,2006-04-25,,,,4,34,4000
110114,Rahim,Hamid,M,1994-09-06,Malaysian,Married,Associate’s Degree,rahim.hamid@lumen.com,2012-05-20,,,,4,48,2500
110115,Domenico,Romano,M,1978-11-24,Italy,Single,Technical Certificate,domenico.romano@lumen.com,2008-01-31,2024-03-01,Restructuring,No,1,52,3200
110116,Aleen,Araujo,F,1978-05-10,Australia,Single,High School Diploma,aleen.araujo@lumen.com,2004-11-07,,,,4,51,2800
110117,Hana,Mahmoud,F,1977-07-12,Egypt,Single,Bachelor's Degree,hana.mahmoud@lumen.com,1990-06-07,,,,3,39,3500
110118,Heath,Hartley,M,1995-05-22,Australia,Divorced,Bachelor's Degree,heath.hartley@lumen.com,2016-04-15,,,,2,53,3000
110119,Zaida,Odum,F,1977-04-16,Australia,Divorced,Master’s Degree,zaida.odum@lumen.com,2011-02-09,,,,2,44,4500
110120,Kadir,Yılmaz,M,1974-02-04,Turkish,Single,Associate’s Degree,kadir.yılmaz@lumen.com,2003-02-08,,,,1,31,2800
110121,Major,Hetrick,M,1995-01-16,Australia,Married,Doctorate (PhD),major.hetrick@lumen.com,2005-03-05,,,,3,34,3000
110122,Marvin,Nickel,M,1996-11-22,Canada,Single,Bachelor's Degree,marvin.nickel@lumen.com,2012-10-06,,,,4,40,2000
110123,Hanis,Zakaria,F,1996-06-16,Malaysian,Married,Bachelor's Degree,hanis.zakaria@lumen.com,2013-04-30,,,,2,40,4000
110124,Taufiq,Iskandar,M,1976-06-01,Malaysian,Single,Technical Certificate,taufiq.iskandar@lumen.com,2002-12-25,2021-02-11,Restructuring,No,4,33,2500
110125,Joel,Holiday,M,1996-09-13,Australia,Divorced,Bachelor's Degree,joel.holiday@lumen.com,2008-10-27,,,,3,40,3200
110126,Asyraf,Kamal,M,1993-01-20,Malaysian,Married,Technical Certificate,asyraf.kamal@lumen.com,2007-08-18,,,,4,48,2800
110127,Omar,Said,M,1970-07-11,Egypt,Single,Bachelor's Degree,omar.said@lumen.com,2014-01-02,,,,2,30,3500
110128,Elly,Banuelos,F,1994-09-10,Canada,Single,Technical Certificate,elly.banuelos@lumen.com,2015-03-28,2022-06-01,Workload Burnout,Yes,1,32,3000
110129,Almeta,Brookins,F,1995-05-06,Australia,Single,Bachelor's Degree,almeta.brookins@lumen.com,2017-04-25,,,,3,52,4500
110130,Dudley,Hammer,M,2000-01-19,UK,Divorced,Technical Certificate,dudley.hammer@lumen.com,2016-05-14,,,,4,54,2800
110131,Emmett,Ordonez,M,1996-03-05,USA,Married,Master’s Degree,emmett.ordonez@lumen.com,2017-06-11,,,,3,47,3000
110132,Zafira,Rahman,F,1980-10-21,Malaysian,Single,Associate’s Degree,zafira.rahman@lumen.com,2014-07-24,2024-01-01,Resigned,Yes,1,45,2000
110133,Mac,Savino,M,1999-05-16,Australia,Married,Master’s Degree,mac.savino@lumen.com,2016-11-22,,,,3,46,4000
110134,Marquita,Kenney,F,1998-02-24,UK,Single,Technical Certificate,marquita.kenney@lumen.com,2015-07-02,,,,4,51,2500
110135,Kim,Lorenzo,M,1992-10-06,UK,Married,Technical Certificate,kim.lorenzo@lumen.com,2009-03-24,,,,1,56,3200
110136,Hilton,Krause,M,1993-12-11,Australia,Married,Bachelor's Degree,hilton.krause@lumen.com,2017-04-20,,,,4,30,2800
110137,Mac,Roger,M,1995-11-13,Canada,Married,Bachelor's Degree,mac.roger@lumen.com,2015-03-08,,,,4,38,3500
110138,Nino,Lombardi,M,1980-04-01,Italy,Single,Bachelor's Degree,nino.lombardi@lumen.com,2013-06-26,,,,3,33,3000
110139,Brigitte,Braun,F,1999-12-05,Germany,Married,Bachelor's Degree,brigitte.braun@lumen.com,2012-03-11,,,,2,48,4500
110140,Stanton,Araujo,M,1978-03-02,UK,Married,Master’s Degree,stanton.araujo@lumen.com,1992-06-03,,,,1,51,2800
110141,Khadijah,Daud,F,1975-09-24,Malaysian,Married,Bachelor's Degree,khadijah.daud@lumen.com,2009-07-27,,,,2,32,3000
110142,Forest,Longoria,M,1980-09-06,USA,Married,Bachelor's Degree,forest.longoria@lumen.com,2013-10-15,2024-04-01,Workload Burnout,Yes,1,58,2000
110143,Grégoire,Leroy,M,1997-07-28,France,Single,Bachelor's Degree,grégoire.leroy@lumen.com,2000-03-09,2019-01-01,Career Stagnation,Yes,4,34,4000
110144,Janetta,Bowlin,F,1971-08-28,USA,Married,Bachelor's Degree,janetta.bowlin@lumen.com,2014-12-26,,,,3,60,2500
110145,Booker,Cotton,M,1997-12-09,Australia,Single,Technical Certificate,booker.cotton@lumen.com,2015-12-19,,,,1,32,3200
110146,Aiman,Khalid,M,1997-01-21,Malaysian,Single,High School Diploma,aiman.khalid@lumen.com,2006-01-08,,,,3,42,2800
110147,Jesus,Maupin,M,1968-05-20,USA,Single,High School Diploma,jesus.maupin@lumen.com,1996-03-15,,,,3,40,3500
110148,Azzie,Layman,F,1971-09-04,Canada,Divorced,Bachelor's Degree,azzie.layman@lumen.com,2004-03-26,,,,4,51,3000
110149,Gregory,Stroud,M,1995-08-22,UK,Married,High School Diploma,gregory.stroud@lumen.com,2014-04-17,,,,1,42,4500
110150,Yannick,Lefebvre,M,1997-04-08,France,Single,Bachelor's Degree,yannick.lefebvre@lumen.com,2010-02-15,,,,1,47,2800
110151,Zarina,Syed,F,1994-03-11,Malaysian,Single,Technical Certificate,zarina.syed@lumen.com,2012-03-02,,,,4,46,3000
110152,Alisha,Bard,F,1976-07-12,UK,Divorced,Technical Certificate,alisha.bard@lumen.com,1990-10-01,,,,3,34,2000
110153,Jewel,Sumpter,M,1996-09-12,Australia,Single,Bachelor's Degree,jewel.sumpter@lumen.com,2004-12-17,,,,3,31,4000
110154,Glenn,Pace,M,1994-06-20,UK,Divorced,Doctorate (PhD),glenn.pace@lumen.com,2014-08-10,,,,4,41,2500
110155,Ying,Chen,F,1977-04-11,China,Married,Bachelor's Degree,ying.chen@lumen.com,1993-12-02,2024-05-01,Workload Burnout,Yes,1,52,3200
110156,Sherman,Rockwell,M,1978-03-14,USA,Single,Bachelor's Degree,sherman.rockwell@lumen.com,2014-10-15,,,,2,60,2800
110157,Charles,Quintero,F,1968-03-24,Australia,Divorced,Bachelor's Degree,charles.quintero@lumen.com,2012-12-22,,,,3,34,3500
110158,Stefania,Couch,F,1992-05-12,UK,Single,Bachelor's Degree,stefania.couch@lumen.com,2010-03-23,,,,3,49,3000
110159,Chastity,Pineda,F,1995-05-04,Canada,Divorced,Doctorate (PhD),chastity.pineda@lumen.com,2010-06-19,,,,3,32,4500
110160,Layla,Hussein,F,1993-09-06,Egypt,Single,Bachelor's Degree,layla.hussein@lumen.com,2012-03-07,,,,4,31,2800
110161,Aisha,Elmasry,F,1979-08-22,Egypt,Single,Bachelor's Degree,aisha.elmasry@lumen.com,2016-11-23,,,,4,39,3000
110162,Ziad,Ismail,M,1995-03-24,Egypt,Single,Bachelor's Degree,ziad.ismail@lumen.com,2016-11-15,,,,2,39,2000
110163,Élise,Lefevre,F,1993-04-05,France,Single,Associate’s Degree,élise.lefevre@lumen.com,1994-05-19,,,,2,34,4000
110164,Larry,Dial,M,1996-05-06,Australia,Divorced,High School Diploma,larry.dial@lumen.com,2016-10-07,,,,1,33,2500
110165,Brendan,Todd,M,1993-07-01,Canada,Married,Bachelor's Degree,brendan.todd@lumen.com,2013-05-11,,,,4,59,3200
110166,Deshawn,Clegg,M,1969-04-05,USA,Divorced,High School Diploma,deshawn.clegg@lumen.com,1995-10-04,,,,2,49,2800
110167,Sade,Shay,F,2000-05-26,USA,Divorced,Bachelor's Degree,sade.shay@lumen.com,2016-01-20,,,,3,48,3500
110168,Wyatt,Mccants,M,1976-12-16,USA,Divorced,Associate’s Degree,wyatt.mccants@lumen.com,2014-12-16,,,,2,39,3000
110169,Wanda,Schuster,F,1994-09-27,Germany,Married,Technical Certificate,wanda.schuster@lumen.com,2009-05-22,,,,1,33,4500
110170,Catherine,Mercier,F,2000-08-08,France,Single,High School Diploma,catherine.mercier@lumen.com,2017-04-16,,,,4,57,2800
110171,Dillon,Dominguez,M,1973-10-19,USA,Divorced,High School Diploma,dillon.dominguez@lumen.com,2015-01-29,,,,3,45,3000
110172,Allan,Bernhardt,M,1972-01-22,Australia,Single,Doctorate (PhD),allan.bernhardt@lumen.com,2000-09-10,2019-01-01,Career Stagnation,Yes,3,30,2000
110173,Michal,Maurer,F,1996-12-03,UK,Divorced,Associate’s Degree,michal.maurer@lumen.com,2000-05-01,2019-01-01,Workload Burnout,Yes,4,50,4000
110174,Adolfo,Bruner,M,1999-06-05,Canada,Divorced,Bachelor's Degree,adolfo.bruner@lumen.com,2017-05-28,,,,2,59,2500
110175,Cyndy,Goldsmith,F,1991-10-22,USA,Married,Master’s Degree,cyndy.goldsmith@lumen.com,2008-09-20,,,,3,52,3200
110176,August,Barrera,M,1976-12-06,Australia,Married,Bachelor's Degree,august.barrera@lumen.com,2000-10-10,2019-01-01,Workload Burnout,Yes,1,53,2800
110177,Shakita,Hargis,F,1969-07-07,Australia,Divorced,Bachelor's Degree,shakita.hargis@lumen.com,1996-09-13,,,,4,52,3500
110178,Everett,Higgins,M,1997-02-11,Canada,Single,Technical Certificate,everett.higgins@lumen.com,2017-03-05,,,,4,47,3000
110179,Rick,Miles,M,1978-06-16,USA,Divorced,Bachelor's Degree,rick.miles@lumen.com,2017-02-17,,,,1,30,4500
110180,Dayang,Salleh,F,1995-12-17,Malaysian,Single,Associate’s Degree,dayang.salleh@lumen.com,2008-03-23,,,,4,44,2800
110181,Mario,Novotny,M,1973-08-22,USA,Married,Bachelor's Degree,mario.novotny@lumen.com,2003-06-08,,,,3,59,3000
110182,Nestor,Dabney,M,1997-04-17,Australia,Divorced,Bachelor's Degree,nestor.dabney@lumen.com,2014-12-04,,,,1,30,2000
110183,Todd,Slater,M,2000-11-27,Canada,Single,Master’s Degree,todd.slater@lumen.com,2017-03-07,,,,2,52,4000
110184,Ibrahim,Fathy,M,1993-07-26,Egypt,Single,Bachelor's Degree,ibrahim.fathy@lumen.com,2000-05-07,2019-01-01,Career Stagnation,Yes,3,50,2500
110185,Nova,Bouchard,F,1974-05-02,Canada,Divorced,Associate’s Degree,nova.bouchard@lumen.com,2003-01-26,,,,2,30,3200
110186,Jack,Cardona,M,2000-07-04,Canada,Single,Master’s Degree,jack.cardona@lumen.com,2017-04-05,,,,4,40,2800
110187,Bryant,Naylor,M,1998-01-24,Australia,Divorced,High School Diploma,bryant.naylor@lumen.com,2014-10-21,,,,3,39,3500
110188,Tim,Sallee,M,1996-02-21,Australia,Single,Master’s Degree,tim.sallee@lumen.com,2016-09-02,,,,1,38,3000
110189,Johnnie,Janssen,M,1979-08-25,UK,Single,Bachelor's Degree,johnnie.janssen@lumen.com,2008-01-22,,,,2,42,4500
110190,Alexander,Lange,M,1973-10-11,UK,Divorced,Technical Certificate,alexander.lange@lumen.com,1994-05-28,,,,2,46,2800
110191,Farah,El-Sayed,F,1980-03-13,Egypt,Single,Bachelor's Degree,farah.el-sayed@lumen.com,2011-05-15,,,,3,57,3000
110192,Hal,Mccormick,M,1995-05-24,USA,Single,Master’s Degree,hal.mccormick@lumen.com,2007-08-04,,,,1,43,2000
110193,Alonzo,Mcknight,M,1974-12-03,Australia,Single,Master’s Degree,alonzo.mcknight@lumen.com,2005-12-09,,,,3,51,4000
110194,Alfredo,Leiva,M,1969-04-13,Italy,Married,Bachelor's Degree,alfredo.leiva@lumen.com,1994-04-14,,,,1,39,2500
110195,Erina,Hassan,F,1998-04-21,Malaysian,Single,Bachelor's Degree,erina.hassan@lumen.com,2017-01-14,,,,2,40,3200
